latitude,longitude,room_type,bathrooms,bedrooms,beds,price,property_type,accommodates
37.80604,-122.42302,Entire home/apt,1.0,1.0,2.0,225.0,Entire guest suite,4
37.75746,-122.4863,Entire home/apt,1.0,2.0,3.0,139.0,Entire rental unit,4
37.7877,-122.41211,Private room,1.0,1.0,1.0,73.0,Room in aparthotel,1
37.7877,-122.41211,Private room,1.0,1.0,1.0,72.0,Room in aparthotel,1
37.7877,-122.41211,Private room,1.0,1.0,1.0,71.0,Room in aparthotel,1
37.72843,-122.45208,Entire home/apt,1.0,0.0,1.0,140.0,Entire home,2
37.74277,-122.45686,Entire home/apt,1.0,0.0,1.0,196.0,Entire rental unit,2
37.75275,-122.4412,Entire home/apt,1.0,2.0,2.0,450.0,Entire home,4
37.7542299,-122.3994279,Private room,1.0,1.0,1.0,90.0,Private room in home,2
37.73341,-122.39008,Private room,2.0,1.0,1.0,64.0,Private room in home,2
37.78543,-122.41439,Private room,0.0,1.0,1.0,80.0,Private room in rental unit,1
37.78709,-122.41434,Private room,0.5,1.0,0.0,75.0,Private room in rental unit,1
37.75813675,-122.4343872,Entire home/apt,1.0,1.0,1.0,130.0,Entire rental unit,3
37.77726,-122.499298,Entire home/apt,1.0,2.0,2.0,48.0,Entire guest suite,5
37.71745,-122.42917,Private room,1.0,1.0,1.0,55.0,Private room in home,2
37.79092,-122.42124,Private room,1.0,1.0,1.0,84.0,Private room in rental unit,2
37.7923,-122.42145,Private room,1.0,1.0,1.0,88.0,Private room in rental unit,2
37.79181,-122.41943,Private room,1.0,1.0,1.0,88.0,Private room in rental unit,2
37.74503,-122.41992,Entire home/apt,1.0,0.0,1.0,111.0,Entire guest suite,3
37.79241,-122.41953,Private room,1.0,1.0,1.0,88.0,Private room in rental unit,2
37.79193,-122.42138,Private room,1.0,1.0,1.0,88.0,Private room in rental unit,2
37.80512,-122.41524,Private room,1.5,1.0,1.0,58.0,Private room in rental unit,1
37.76148,-122.49266,Entire home/apt,1.0,1.0,4.0,131.0,Entire rental unit,2
37.78533,-122.41411,Private room,0.0,1.0,1.0,95.0,Private room in rental unit,2
37.73643,-122.45206,Private room,1.5,1.0,1.0,50.0,Private room in home,1
37.73553,-122.41278,Private room,1.0,1.0,1.0,72.0,Private room in home,2
37.77684,-122.43875,Entire home/apt,1.0,0.0,1.0,90.0,Entire rental unit,2
37.80251,-122.40691,Entire home/apt,1.0,1.0,2.0,129.0,Entire rental unit,2
37.75055,-122.41546,Entire home/apt,1.0,2.0,3.0,228.0,Entire home,5
37.79977,-122.42607,Private room,1.0,1.0,1.0,100.0,Private room in home,2
37.75175,-122.50419,Entire home/apt,1.0,2.0,2.0,248.0,Entire rental unit,4
37.73333,-122.45911,Entire home/apt,1.0,1.0,2.0,177.0,Entire guest suite,3
37.75893,-122.43801,Entire home/apt,1.0,1.0,1.0,188.0,Entire rental unit,2
37.76507,-122.48066,Private room,1.0,1.0,1.0,100.0,Private room in home,1
37.77003,-122.44286,Entire home/apt,1.5,4.0,5.0,404.0,Entire rental unit,9
37.73006698,-122.3899558,Entire home/apt,1.0,1.0,2.0,101.0,Entire rental unit,3
37.77504,-122.41096,Entire home/apt,1.0,3.0,4.0,207.0,Entire rental unit,7
37.79245,-122.41983,Private room,1.0,1.0,1.0,66.0,Private room in rental unit,1
37.76103,-122.50152,Entire home/apt,1.0,1.0,1.0,200.0,Entire rental unit,2
37.77608,-122.47894,Entire home/apt,1.5,3.0,4.0,338.0,Entire condo,5
37.75587,-122.43411,Private room,1.5,1.0,1.0,65.0,Private room in home,1
37.77423477,-122.4254456,Entire home/apt,1.0,1.0,1.0,233.0,Entire loft,2
37.78766,-122.39052,Entire home/apt,1.0,1.0,1.0,150.0,Entire condo,1
